label,text
"""Human""","The focus of this paper is on a new concept framework and an architecture of an intelligent decision support 
syetem generator (DSSG). The framework results from a synthesis of two existing frameworks: 
Spragae and Bonczek, while the architecture is a rooted partial order network. From our experience which comes 
out of the project of DSSG, we consider that they are keys of further research and development of DSS"
"""AI""","This paper centers on introducing a fresh conceptual framework and unveiling the architecture behind the 
Intelligent Decision Support System Generator (DSSG). This framework emerges through amalgamating two 
established models—Spragae and Bonczek—exploiting their collective strengths, while the architecture itself 
takes form as a rooted partial order network. Rooted in our practical insights from the DSSG project, we firmly 
ascertain these elements as pivotal for advancing both research and development in Decision Support Systems (DSS). 
The symbiosis of the synthesized framework and the intricate architecture lays the groundwork for groundbreaking 
progress in refining decision-making processes across diverse domains. Envisioning the potential of these innovations, 
we anticipate transformative effects and a profusion of novel pathways within the DSS realm."
"""Human""","Heuristic optimization methods provide a robust and efficient approach to solving complex optimization problems
. This paper presents a hybrid optimization technique combining two heuristic optimization methods, artificial
 immune system (AIS) and particle swarm optimization (PSO), together in searching for the global optima of 
nonlinear functions. The proposed algorithm, namely hybrid anti-prematuration optimization method, contains 
four significant operators, i.e. swarm operator, cloning operator, suppression operator, and receptor editing 
operator. The swarm operator is inspired by the particle swarm intelligence, and the clone operator, suppression 
operator, and receptor editing operator are gleaned by the artificial immune system. The simulation results of 
three representative nonlinear test functions demonstrate the superiority of the hybrid optimization algorithm 
over the conventional methods with regard to both the solution quality and convergence rate. It is also employed 
to cope with a real-world optimization problem."
"""AI""","This paper introduces a robust and efficient approach to tackle intricate optimization challenges through heuristic 
optimization methods. The study unveils a hybrid optimization technique that merges two heuristic optimization 
methods, artificial immune system (AIS), and particle swarm optimization (PSO), synergizing their strengths to 
explore global optima for nonlinear functions. Referred to as the hybrid anti-prematuration optimization method,
 the proposed algorithm integrates four pivotal operators: the swarm operator inspired by particle swarm intelligence, 
the clone operator, suppression operator, and receptor editing operator drawn from the artificial immune system
 paradigm. By conducting simulations on three representative nonlinear test functions, the hybrid optimization 
algorithm demonstrates its clear edge over conventional methods in terms of solution quality and convergence rate. 
Furthermore, the algorithm proves its efficacy in addressing real-world optimization challenges."
"""Human""","In this paper the nature of predatory pricing is analyzed with genetic algorithms. It is found that, even under the
 same payoff structure, the results of the co-evolution of weak monopolists and entrants are sensitive to the 
representation of the decision-making process. Two representations are studied in this paper. One is the 
action-based representation and the other the strategy-based representation. The former is to represent a
 naive mind and the latter is to capture a sophisticated mind. For the action-based representation, the 
convergence results are easily obtained and predatory pricing is only temporary in all simulations. However, 
for the strategy-based representation, predatory pricing is not a rare phenomenon and its appearance is 
cyclical but not regular. Therefore, the snowball effect of a little craziness observed in the experimental 
game theory wins its support from this representation. Furthermore, the nature of predatory pricing has 
something to do with the evolution of the sophisticated rather than the naive minds."
"""AI""","This paper employs genetic algorithms to scrutinize the essence of predatory pricing, revealing its intricacies. 
The study underscores that the co-evolution of weak monopolists and entrants hinges greatly on how their 
decision-making processes are represented. Two distinct representations, the action-based and strategy-based, 
are explored. The former, reflecting a simpler mindset, demonstrates that predatory pricing is merely a 
transient tactic. Conversely, the strategy-based representation uncovers a cyclical, albeit irregular, pattern 
for predatory pricing. This substantiates the ""snowball effect of a little craziness"" from experimental game 
theory. Crucially, the research highlights that predatory pricing's nature is entwined with the evolution of 
sophisticated cognitive processes rather than naive approaches, offering a multifaceted perspective on 
competitive strategy dynamics."
"""Human""","This paper describes a channel estimation and equalization algorithm using three-layer artificial neural
 networks (ANNs) with feedback for multiple input multiple output wireless communication systems. 
An ANN structure with feedback was designed to use different learning algorithms in the different ANN
 layers. This actually forms a Turbo iteration process between the different algorithms which effectively 
improves the estimation performance of the channel equalizer. Simulation results show that this channel 
equalization algorithm has better computational efficiency and faster convergence than higher order statistics 
based algorithms"
"""AI""","This paper presents an innovative channel estimation and equalization algorithm for multiple input multiple output 
(MIMO) wireless communication systems. The approach employs three-layer artificial neural networks (ANNs) 
with feedback. The unique design incorporates distinct learning algorithms in the various ANN layers, thereby
 creating a Turbo iteration process. This intricate interplay between algorithms notably enhances the channel 
equalizer's estimation performance. Notably, simulation outcomes validate the algorithm's superior computational 
efficiency and quicker convergence compared to algorithms grounded in higher order statistics"
"""Human""","User acceptance is one of the key fundamentals for development and success of mobile commerce (m-commerce).
 Based on the revised unified theory of acceptance and use of technology (UTAUT) model, we described a theoretical
 framework that incorporates the unique characteristics of m-commerce to enhance our understanding of 
m-commerce acceptance and usage in China. The revised UT AUT includes the characteristics of m-commerce, 
inclusion and consideration of information system user satisfaction theory, and Chinese culture and context"
"""AI""","Centered on the development and triumph of mobile commerce (m-commerce), user acceptance stands as a pivotal cornerstone. Drawing from the revised Unified Theory of Acceptance and Use of Technology (UTAUT) model, this study formulates a theoretical framework that seamlessly integrates the distinctive attributes of m-commerce. This endeavor augments our comprehension of m-commerce acceptance and utilization in the context of China. The revamped UTAUT framework intricately incorporates the idiosyncrasies of m-commerce, embraces the principles of information system user satisfaction theory, and pays heed to the nuances of Chinese culture and context."
